iter	Passed	Remaining
403	8328	12287
404	8351	12269
405	8374	12251
406	8404	12244
407	8425	12224
408	8442	12199
409	8463	12179
410	8485	12160
411	8507	12141
412	8529	12122
413	8550	12102
414	8571	12082
415	8592	12061
416	8612	12040
417	8634	12021
418	8654	12001
419	8676	11982
420	8698	11963
421	8720	11944
422	8741	11924
423	8765	11907
424	8788	11889
425	8810	11870
426	8830	11849
427	8850	11827
428	8871	11808
429	8894	11790
430	8917	11772
431	8944	11759
432	8970	11746
433	8998	11735
434	9026	11724
435	9056	11715
436	9083	11702
437	9106	11684
438	9133	11671
439	9158	11656
440	9180	11636
441	9200	11615
442	9222	11596
443	9244	11576
444	9265	11555
445	9286	11534
446	9308	11516
447	9331	11498
448	9354	11480
449	9377	11461
450	9399	11442
451	9421	11421
452	9445	11405
453	9465	11384
454	9487	11363
455	9508	11343
456	9529	11322
457	9550	11302
458	9572	11283
459	9594	11263
460	9615	11242
461	9636	11221
462	9657	11201
463	9679	11181
464	9701	11161
465	9722	11141
466	9744	11121
467	9765	11101
468	9786	11080
469	9808	11060
470	9829	11039
471	9850	11019
472	9871	10998
473	9893	10979
474	9913	10957
475	9934	10936
476	9955	10915
477	9976	10894
478	9997	10874
479	10020	10855
480	10041	10834
481	10062	10814
482	10085	10795
483	10106	10774
484	10127	10753
485	10148	10733
486	10170	10713
487	10190	10691
488	10210	10670
489	10232	10649
490	10253	10629
491	10275	10609
492	10295	10587
493	10314	10565
494	10336	10545
495	10357	10524
496	10378	10503
497	10398	10482
498	10419	10461
499	10441	10441
500	10459	10417
501	10477	10393
502	10498	10373
503	10519	10352
504	10541	10332
505	10560	10310
506	10582	10290
507	10603	10269
508	10625	10250
509	10647	10229
510	10668	10209
511	10690	10188
512	10711	10168
513	10733	10148
514	10754	10127
515	10777	10109
516	10799	10089
517	10821	10069
518	10843	10049
519	10866	10030
520	10888	10010
521	10908	9989
522	10929	9968
523	10951	9948
524	10974	9929
525	10998	9911
526	11020	9891
527	11041	9870
528	11061	9848
529	11083	9828
530	11104	9807
531	11124	9786
532	11146	9765
533	11167	9745
534	11188	9724
535	11209	9703
536	11233	9685
537	11255	9665
538	11277	9645
539	11300	9625
540	11323	9607
541	11345	9587
542	11364	9564
543	11386	9544
544	11409	9525
545	11430	9504
546	11454	9486
547	11475	9464
548	11497	9445
549	11516	9422
550	11537	9401
551	11558	9381
552	11580	9360
553	11602	9340
554	11623	9319
555	11645	9299
556	11665	9277
557	11687	9257
558	11708	9236
559	11730	9216
560	11752	9196
561	11776	9178
562	11797	9157
563	11819	9136
564	11838	9114
565	11860	9094
566	11882	9074
567	11901	9052
568	11923	9031
569	11944	9010
570	11965	8990
571	11988	8970
572	12010	8950
573	12031	8929
574	12053	8909
575	12075	8888
576	12097	8868
577	12118	8848
578	12138	8825
579	12159	8805
580	12180	8784
581	12201	8763
582	12223	8742
583	12244	8722
584	12266	8701
585	12286	8680
586	12309	8660
587	12330	8639
588	12352	8619
589	12373	8598
590	12397	8579
591	12420	8559
592	12442	8539
593	12463	8518
594	12486	8499
595	12507	8478
596	12529	8457
597	12551	8437
598	12572	8416
599	12593	8395
600	12615	8375
601	12637	8354
602	12659	8334
603	12681	8314
604	12703	8293
605	12725	8273
606	12747	8253
607	12768	8232
608	12789	8211
609	12810	8190
610	12831	8169
611	12854	8149
612	12875	8128
613	12896	8107
614	12917	8086
615	12939	8066
616	12962	8046
617	12983	8025
618	13006	8005
619	13026	7984
620	13048	7963
621	13070	7943
622	13093	7923
623	13116	7903
624	13138	7883
625	13159	7862
626	13180	7841
